commodity,commodity_encoded
Alasande Gram,0
Amaranthus,1
Amphophalus,2
Apple,3
Arecanut(Betelnut/Supari),4
Arhar (Tur/Red Gram),5
Arhar Dal(Tur Dal),6
Ashgourd,7
Avare Dal,8
Bajra(Pearl Millet/Cumbu),9
Banana,10
Banana - Green,11
Barley (Jau),12
Beans,13
Beetroot,14
Bengal Gram Dal (Chana Dal),15
Bengal Gram(Gram),16
Ber(Zizyphus/Borehannu),17
Betal Leaves,18
Bhindi(Ladies Finger),19
Bitter gourd,20
Black Gram (Urd Beans),21
Black Gram Dal (Urd Dal),22
Black pepper,23
Bottle gourd,24
Brinjal,25
Broken Rice,26
Cabbage,27
Capsicum,28
Cardamoms,29
Carrot,30
Cashewnuts,31
Castor Seed,32
Cauliflower,33
Chapparad Avare,34
Chennangi Dal,35
Chikoos(Sapota),36
Chili Red,37
Chilly Capsicum,38
Chrysanthemum,39
Cloves,40
Cluster beans,41
Coconut,42
Coconut Oil,43
Coconut Seed,44
Coffee,45
Colacasia,46
Copra,47
Coriander(Leaves),48
Cornation,49
Corriander seed,50
Cotton,51
Cowpea (Lobia/Karamani),52
Cowpea(Veg),53
Cucumbar(Kheera),54
Cummin Seed(Jeera),55
Dalda,56
Drumstick,57
Dry Chillies,58
Duster Beans,59
Egg,60
Elephant Yam (Suran),61
Field Pea,62
Firewood,63
Fish,64
Foxtail Millet(Navane),65
French Beans (Frasbean),66
Garlic,67
Gingelly Oil,68
Ginger(Dry),69
Ginger(Green),70
Gladiolus Cut Flower,71
Gram Raw(Chholia),72
Grapes,73
Green Avare (W),74
Green Chilli,75
Green Gram (Moong),76
Green Gram Dal (Moong Dal),77
Green Peas,78
Ground Nut Seed,79
Groundnut,80
Groundnut (Split),81
Guar,82
Guar Seed(Cluster Beans Seed),83
Guava,84
Gur(Jaggery),85
Honge seed,86
Indian Beans (Seam),87
Isabgul (Psyllium),88
Jack Fruit,89
Jaffri,90
Jarbara,91
Jowar(Sorghum),92
Jute,93
Kabuli Chana(Chickpeas-White),94
Karbuja(Musk Melon),95
Kinnow,96
Knool Khol,97
Kulthi(Horse Gram),98
Lak(Teora),99
Leafy Vegetable,100
Lemon,101
Lentil(Masur),102
Lilly,103
Lime,104
Linseed,105
Lint,106
Little gourd (Kundru),107
Long Melon(Kakri),108
Mahua,109
Maida Atta,110
Maize,111
Mango,112
Mango (Raw-Ripe),113
Marget,114
Marigold(Calcutta),115
Marigold(loose),116
Mashrooms,117
Masur Dal,118
Mataki,119
Methi Seeds,120
Methi(Leaves),121
Mint(Pudina),122
Moath Dal,123
Mousambi(Sweet Lime),124
Mustard,125
Mustard Oil,126
Myrobolan(Harad),127
Nutmeg,128
Onion,129
Onion Green,130
Orange,131
Orchid,132
Paddy(Dhan),133
Papaya,134
Papaya (Raw),135
Patti Calcutta,136
Peas Wet,137
Peas cod,138
Peas(Dry),139
Pepper ungarbled,140
Pigs,141
Pine Apple,142
Plum,143
Pointed gourd (Parval),144
Pomegranate,145
Potato,146
Pumpkin,147
Raddish,148
Ragi (Finger Millet),149
Raibel,150
Rajgir,151
Rice,152
Ridgeguard(Tori),153
Rose(Local),154
Rose(Loose),155
Round gourd,156
Rubber,157
Safflower,158
Sajje,159
Seemebadnekai,160
"Sesamum(Sesame,Gingelly,Til)",161
Snakeguard,162
Soanf,163
Soapnut(Antawala/Retha),164
Soyabean,165
Spinach,166
Sponge gourd,167
Squash(Chappal Kadoo),168
Sugar,169
Sunflower,170
Suva (Dill Seed),171
Sweet Potato,172
Sweet Pumpkin,173
T.V. Cumbu,174
Tamarind Fruit,175
Tamarind Seed,176
Tapioca,177
Tender Coconut,178
Tinda,179
Tomato,180
Tube Rose(Double),181
Tube Rose(Loose),182
Tube Rose(Single),183
Turmeric,184
Turnip,185
Water Melon,186
Wheat,187
Wheat Atta,188
White Peas,189
Wood,190
Yam,191
